date	type	request	name
2016-09-02T10:48:19.675Z	node	"{""mongoDB"":""chaudron"",""mongoCollection"":""KOHA_ouvrage"",""exportedFields"":""Nom_editeur-210b"",""mongoField"":""Titre_propre-200a"",""distinctValues"":""on"",""mongoId"":""ISBN-10a"",""label"":""ouvrage"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	nodesChaudron
2016-09-02T13:00:33.433Z	node	"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_ouvrage"",""exportedFields"":""Titre_collection_225a;Nom_editeur_210b;ISBN_010a;Collection_ISSN_410x;Auteur principal_700a;Autre_caract_materielle_215c"",""mongoField"":""Titre_propre_200a"",""distinctValues"":""on"",""mongoIdField"":""id"",""label"":""ouvrage"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	nodesChaudron2
2016-09-02T13:03:02.734Z	autorite	"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_autorite"",""exportedFields"":""annee;domaine;label;langue;controlField;periode;prenom;qualificatif;ref_biblique;role"",""mongoField"":""nom"",""distinctValues"":""on"",""mongoIdField"":""id"",""label"":""autorite"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	autoriteChaudron2
2016-09-02T14:13:11.335Z		"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_ouvrage"",""exportedFields"":""Titre_collection_225a;Nom_editeur_210b;ISBN_010a;Collection_ISSN_410x;Auteur principal_700a;Autre_caract_materielle_215c;controlField"",""mongoField"":""Titre_propre_200a"",""distinctValues"":""on"",""mongoIdField"":""controlField"",""label"":""ouvrage"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	ouvrage3
2016-09-02T14:28:02.080Z		"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_R_catalogue_autorite"",""mongoSourceField"":""ouvrage_id"",""neoSourceLabel"":""ouvrage"",""mongoTargetField"":""autorite_id"",""neoTargetLabel"":""autorite"",""relationType"":""decrit_par"",""neoRelAttributeField"":""autorite_code"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	R_ouvrage_autorite
2016-09-02T15:46:54.449Z		"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_autorite"",""exportedFields"":""annee;domaine;label;langue;controlField;periode;prenom;qualificatif;ref_biblique;role"",""mongoField"":""nom"",""distinctValues"":""on"",""mongoIdField"":""id"",""label"":""#label"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	
2016-09-02T15:47:12.117Z		"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_autorite"",""exportedFields"":""annee;domaine;label;langue;controlField;periode;prenom;qualificatif;ref_biblique;role"",""mongoField"":""nom"",""distinctValues"":""on"",""mongoIdField"":""id"",""label"":""#label"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	autorite5
2016-09-02T16:27:40.336Z		"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_autorite"",""exportedFields"":""annee;domaine;label;langue;controlField;periode;prenom;qualificatif;ref_biblique;role"",""mongoField"":""nom"",""distinctValues"":""on"",""mongoIdField"":""controlField"",""label"":""#label"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	autorite6
2016-09-03T14:29:24.896Z		"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_R_catalogue_autorite"",""mongoSourceField"":""ouvrage_id"",""neoSourceLabel"":""ouvrage"",""mongoTargetField"":""autorite_id"",""neoTargetLabel"":""#label"",""relationType"":""decrit_par"",""neoRelAttributeField"":""autorite_code"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	R_ouvrage_autorite2
2016-09-30T17:09:24.977Z		"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_ouvrage"",""exportedFields"":""Auteur_principal_700a;Autre_caract_materielle_215c;BiblioNat_codePays_020a;BiblioNat_numero_020b;BiblioNat_numero_102b;Collection_ISSN_410x;Collection_Numero_notice_410;Collection_date_publication_410d;Collection_titre_410t;Complement_titre_200e;Date_Publication_210e;Description_importance_materielle_215a;Donnees_codees_monographies_105a;Donnees_codees_textes_106a;Format_215d;ISBN_010a;ISBN_qualificatif_010b;ISSN_collection_225x;Langue_101a;Lieu_pubblication_210a;Nom_editeur_210b;Nom_fabricant_210g;Pays_publication_102a;Pre_mention_responsabilite_200f;Titre_collection_225a;Titre_propre_200a;Type_document_200b;_id;controlField;note_300a"",""mongoField"":""Titre_propre_200a"",""distinctValues"":""on"",""mongoIdField"":""id"",""label"":""notice"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	ouvrages30_09
2016-09-30T17:25:42.410Z		"{""mongoDB"":""chaudron"",\n""mongoCollection"":""KOHA_autorite"",""exportedFields"":""_id;annee;controlField;domaine;label;langue;lieu;periode;prenom;qualificatif;ref_biblique;role"",""mongoField"":""nom"",""distinctValues"":""on"",""mongoIdField"":""controlField"",""label"":""#label"",""mongoQuery"":""{}"",""subGraph"":""chaudron""}"	autorite_30_09
