sourcestr3 - entity1
CR-MS-EXP-005 EN 00 - Preparation of various terminal works	CR MS EXP 001;CR MS EXP 001;3026,13;CR MS EXP 003;CR MS EXP 003;2997,13;GS MS ENG 002;GS MS ENG 002;3106,13;CR MS HSEQ 202;CR MS HSEQ 202;2956,14	28	28	8.85 ms	0.13 ms	0
CR-MS-LOG-001 EN 01 - Loading	CR-MS-INS 021;CR-MS-INS 021;2527,13;CR-MS-INS-011;CR-MS-INS-011;2553,13;GS-MS-PVV-005;GS-MS-PVV-005;2465,13
CR-MS-LOG-001 FR 01 - Chargement	CR-MS-INS 021;CR-MS-INS 021;2737,13;CR-MS-INS-011;CR-MS-INS-011;2762,13;GS-MS-PVV-005;GS-MS-PVV-005;2669,13
CR-MS-LOG-003 EN 01 - Reception by Vessels and Barges	GS-MS-PVV-005;GS-MS-PVV-005;1581,13;CR-MS-HSEQ-640;CR-MS-HSEQ-640;1643,14
CR-MS-LOG-004 EN 01 - Rail Reception	CR-MS-EXP 001;CR-MS-EXP 001;1599,13;CR-MS-EXP-002;CR-MS-EXP-002;1629,13;GS-MS-PVV-005;GS-MS-PVV-005;1537,13
CR-MS-LOG-003 FR 01 - Reception Barges et Navires	GS-MS-PVV-005;GS-MS-PVV-005;1655,13;CR-MS-HSEQ-640;CR-MS-HSEQ-640;1723,14
CR-MS-LOG-005 EN 01 - Truck Reception	CR-MS-EXP 001;CR-MS-EXP 001;1501,13;CR-MS-EXP-002;CR-MS-EXP-002;1531,13;GS-MS-PVV-005;GS-MS-PVV-005;1439,13
CR-MS-LOG-004 FR 01 - Reception Fer	CR-MS-EXP 001;CR-MS-EXP 001;1631,13;CR-MS-EXP-002;CR-MS-EXP-002;1672,13;GS-MS-PVV-005;GS-MS-PVV-005;1563,13
CR-MS-LOG-005 FR 01 - Reception Camion	CR-MS-EXP 001;CR-MS-EXP 001;1586,13;CR-MS-EXP-002;CR-MS-EXP-002;1627,13;GS-MS-PVV-005;GS-MS-PVV-005;1518,13
CR-MS-MIT-301 EN 00 - Periodic checks related to terminal equipment	GS-MS-ECP-001;GS-MS-ECP-001;3271,13;GS-MS-ELE-001;GS-MS-ELE-001;3239,13;GS-MS-ENG-003;GS-MS-ENG-003;3177,13;GS-MS-PVV-011;GS-MS-PVV-011;3309,13;CR-MS-HSEQ-333;CR-MS-HSEQ-333;3372,14
GS MS COR 001 EN 00 - Corrosion and coating protection	GS MS COR 001;GS MS COR 001;20348,13;GS MS ENG 003;GS MS ENG 003;19788,13;GS MS PVV 003;GS MS PVV 003;19850,13;GS MS PVV 101;GS MS PVV 101;19900,13;GS MS PVV 103;GS MS PVV 103;19943,13;GS MS PVV 105;GS MS PVV 105;19983,13;GS MS PVV 111;GS MS PVV 111;20038,13
