col1	col2
CR-MS-EXP-005	CR MS EXP 001
CR-MS-EXP-005	CR MS EXP 003
CR-MS-EXP-005	GS MS ENG 002
CR-MS-EXP-005	CR MS HSEQ 202
CR-MS-LOG-001	CR-MS-INS 021
CR-MS-LOG-001	CR-MS-INS-011
CR-MS-LOG-001	GS-MS-PVV-005
CR-MS-LOG-003	GS-MS-PVV-005
CR-MS-LOG-003	CR-MS-HSEQ-640
CR-MS-LOG-004	CR-MS-EXP 001
CR-MS-LOG-004	CR-MS-EXP-002
CR-MS-LOG-004	GS-MS-PVV-005
CR-MS-LOG-005	CR-MS-EXP 001
CR-MS-LOG-005	CR-MS-EXP-002
CR-MS-LOG-005	GS-MS-PVV-005
CR-MS-MIT-301	GS-MS-ECP-001
CR-MS-MIT-301	GS-MS-ELE-001
CR-MS-MIT-301	GS-MS-ENG-003
CR-MS-MIT-301	GS-MS-PVV-011
CR-MS-MIT-301	CR-MS-HSEQ-333
GS MS COR 001	GS MS COR 001
GS MS COR 001	GS MS ENG 003
GS MS COR 001	GS MS PVV 003
GS MS COR 001	GS MS PVV 101
GS MS COR 001	GS MS PVV 103
GS MS COR 001	GS MS PVV 105
GS MS COR 001	GS MS PVV 111
GS MS ELE 001	GS MS ELE 001
GS MS ELE 102	GS MS ELE 102
GS MS ENG 002	GS MS ELE 001
GS MS ENG 002	GS MS INS 001
GS MS ENG 003	GS MS ENG 002
GS MS ENG 003	GS MS PVV 001
GS MS ENG 101	GS MS ENG 101
GS MS ENG 101	GS MS ISL 002
GS MS ENG 101	GS MS PVV 101
GS MS ENG 101	GS MS HSEQ 312
GS MS ENG 101	GS MS HSEQ 313
GS MS ENG 101	GS MS HSEQ 314
GS MS ENG 101	GS MS HSEQ 413
GS MS INS 012	GS MS ELE 001
GS MS INS 012	GS MS INS 011
GS MS INS 012	GS MS INS 101
GS MS INS 012	GS MS HSEQ 333
GS MS ISL 002	GS MS COR 001
GS MS ISL 002	GS MS ECP 001
GS MS ISL 002	GS MS ISL 002
GS MS ISL 002	GS MS PVV 011
GS MS ISL 002	GS MS HSEQ 132
GS MS PVV 002	GS MS COR 001
GS MS PVV 002	GS MS ECP 001
GS MS PVV 002	GS MS INS 001
GS MS PVV 002	GS MS MEC 001
GS MS PVV 002	GS MS PVV 001
GS MS PVV 002	GS MS PVV 002
GS MS PVV 002	GS MS PVV 003
GS MS PVV 002	GS MS PVV 005
GS MS PVV 002	GS MS PVV 011
GS MS PVV 002	GS MS STR 001
GS MS PVV 005	GS MS PVV 001
GS MS PVV 005	GS MS PVV 002
GS MS PVV 005	GS MS PVV 005
GS MS STR 001	GS MS COR 001
GS MS STR 001	GS MS STR 001
LI MS ISL 002	GS MS ISL 002
LI MS PVV 001	GS MS PVV 001
LI MS PVV 011	GS MS PVV 011
